x,y,z,density,shock_sensor,shock_sensor_raw,radius_yz,spiral_step,shell_layer,line_index,bin_i,bin_j
-1.75,0.125,0.375,2.960747480392456,5.180801588252498,8.220870725274244,0.39528470752104744,35,3,19,91,93
-1.75,0.25,0.375,2.429948091506958,5.773192700569615,8.121314769550638,0.45069390943299864,36,3,19,92,93
-1.75,0.375,0.375,2.9498634338378906,5.852570409479849,10.03327916661389,0.5303300858899106,37,3,19,93,93
-1.75,0.375,0.25,3.115955352783203,6.030562063962865,9.343567971365921,0.45069390943299864,38,3,19,93,92
-1.75,0.375,0.125,2.8372576236724854,5.545243146999364,9.410586660314447,0.39528470752104744,39,3,19,93,91
-1.75,0.375,0.0,2.863243818283081,5.680734894302484,9.175578535686494,0.375,40,3,19,93,90
-1.75,0.375,-0.125,2.915576457977295,6.16804900718541,9.953707176217765,0.39528470752104744,41,3,19,93,89
-1.75,0.375,-0.25,2.8227548599243164,5.512432675355141,8.075207668726696,0.45069390943299864,42,3,19,93,88
-1.75,0.375,-0.375,2.692617893218994,5.523257183333515,8.145646565420169,0.5303300858899106,43,3,19,93,87
-1.75,0.25,-0.375,2.5485823154449463,5.469971927536717,7.784431426198267,0.45069390943299864,44,3,19,92,87
-1.75,0.125,-0.375,2.7782979011535645,6.10696751263348,9.018096126397094,0.39528470752104744,45,3,19,91,87
-1.75,0.0,-0.375,2.8222603797912598,5.9252029683604075,9.562484347437447,0.375,46,3,19,90,87
-1.75,-0.125,-0.375,2.6003477573394775,5.400323453813281,8.27579836488692,0.39528470752104744,47,3,19,89,87
-1.75,-0.25,-0.375,3.0034115314483643,5.949159707236672,9.724694380431286,0.45069390943299864,48,3,19,88,87
-1.75,-0.5,-0.5,2.5821855068206787,5.706135259413264,9.504949886624717,0.7071067811865476,49,4,19,86,86
-1.75,-0.5,-0.375,2.3570098876953125,6.310211904704132,10.595592404858035,0.625,50,4,19,86,87
-1.75,-0.5,-0.25,2.6645126342773438,6.58171025214466,11.576696832699787,0.5590169943749475,51,4,19,86,88
-1.75,-0.5,-0.125,3.4285991191864014,6.31531862979131,10.059388414718908,0.5153882032022076,52,4,19,86,89
-1.75,-0.5,0.0,2.9970970153808594,5.51648608904544,8.529423252304168,0.5,53,4,19,86,90
-1.75,-0.5,0.125,2.706418991088867,5.5516797048179995,7.788815499539855,0.5153882032022076,54,4,19,86,91
